OrderNumber,EventStartTime,EventName,TicketType,OrganizationCategoryName,OrganizationName,OrganizationZipCode,OrganizationState,Quantity,OrganizationCity,School District,School Type,school_id,school_code,school_name,principal_name,sector,network,network_from_pdf,city_council_district,grades_served,admission_category,report_type,enrollment_oct1,students_served_full_year,pct_american_indian,pct_asian,pct_black,pct_hispanic,pct_multiracial,pct_pacific_islander,pct_white,pct_iep,pct_english_learners,pct_economically_disadvantaged,student_attendance_2324,teacher_attendance_2324,pct_attend_95plus,pct_attend_90plus,dropouts_2324,graduation_rate_2324,keystone_algebra_2324,keystone_biology_2324,keystone_literature_2324,pssa_grade3_reading,pssa_grade3_8_reading,pssa_grade3_math,pssa_grade3_8_math,pssa_science,nocti_2324,pdf_url
100914813,10/14/2022,Admission,Adult,PreK-12 Free,Central High School,,,8,,Philadelphia City SD,Public,6010,6010,Central High School,"Katharine Davis
Sector District",District,Network 15,Network 15,District 8,9-12,Criteria,High School,2288,2291.0,0.2,36.2,21.6,10.1,4.2,0.1,27.6,2.0,2.8,55.8,90.2,92.7,70.0,90.2,2.0,99.3,89.5,88.4,98.4,,,,,,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B6010%5D_SP_SPREE_SPOTlight.pdf
100916271,10/6/2022,PreK-12 In-School Pre-Visit Lessons,Adult,PreK-12 Free,Eleanor C. Emlen School,19119,Philadelphia,4,Pennsylvania,Philadelphia City SD,Public,6220,6220,Eleanor C. Emlen School,"Tammy Thomas
Sector District",District,Network 6,Network 6,District 8,K-5,Catchment,High School,296,325.0,2.0,0.0,85.8,5.1,5.4,0.0,1.7,34.8,1.4,80.1,69.2,85.2,37.5,69.2,23.0,,,,,47.1,33.8,20.6,15.7,37.7,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B6220%5D_SP_SPREE_SPOTlight.pdf
100916277,11/3/2022,PreK-12 In-School Pre-Visit Lessons,Adult,PreK-12 Free,William C. Longstreth School,19143,Philadelphia,4,Pennsylvania,Philadelphia City SD,Public,1350,1350,William C. Longstreth School,"Nicole Harris
Sector District",District,Network 1,Network 1,District 3,K-8,Catchment,High School,248,307.0,0.4,0.0,94.8,3.2,0.8,0.0,0.8,34.7,2.0,87.9,47.2,78.3,25.1,47.2,0.0,,,,,8.3,15.6,,0.6,25.5,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B1350%5D_SP_SPREE_SPOTlight.pdf
100916284,10/18/2022,PreK-12 In-School Pre-Visit Lessons,Adult,PreK-12 Free,Norris Square Community Alliance,19122,Philadelphia,4,Pennsylvania,Philadelphia City SD,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100917174,10/20/2022,PreK-12 In-School Pre-Visit Lessons,Adult,PreK-12 Free,Norris Square Community Alliance,19122,Philadelphia,4,Pennsylvania,Philadelphia City SD,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100917265,11/28/2022,PreK-12 In-School Post-Visit Lessons,Adult,PreK-12 Free,Potter Thomas School,19133-2824,Philadelphia,2,PA,Philadelphia City SD,Public,5390,5390,Potter-Thomas School,"Nichole Polk
Sector District",District,Network 8,Network 8,District 7,K-8,Catchment,High School,360,419.0,0.0,0.0,23.3,74.7,1.1,0.0,0.8,24.4,22.5,90.8,46.5,93.0,20.8,46.5,1.0,,,,,23.3,17.0,20.0,4.2,27.9,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B5390%5D_SP_SPREE_SPOTlight.pdf
100917268,10/11/2022,PreK-12 In-School Pre-Visit Lessons,Adult,PreK-12 Free,Norris Square Community Alliance,19122,Philadelphia,4,Pennsylvania,Philadelphia City SD,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100917277,10/14/2022,Admission,Adult,PreK-12 Free,Cristo Rey Philadelphia High School,PLACEHOLDER,PLACEHOLDER,3,PLACEHOLDER,Unaffiliated,Catholic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100917277,11/4/2022,Admission,Adult,PreK-12 Free,Cristo Rey Philadelphia High School,PLACEHOLDER,PLACEHOLDER,3,PLACEHOLDER,Unaffiliated,Catholic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100917277,12/16/2022,Admission,Adult,PreK-12 Free,Cristo Rey Philadelphia High School,PLACEHOLDER,PLACEHOLDER,3,PLACEHOLDER,Unaffiliated,Catholic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100917446,12/12/2022,PreK-12 In-School Post-Visit Lessons,Adult,PreK-12 Free,Samuel Powel School,19104,Philadelphia,5,Pennsylvania,Philadelphia City SD,Public,1390,1390,Samuel Powel School,"Kimberly Ellerbee
Sector District",District,Network 3,Network 3,District 3,K-4,Catchment,High School,312,323.0,0.6,4.5,59.9,5.1,4.2,0.0,25.6,22.8,2.2,53.9,80.5,81.8,56.0,80.5,23.0,,,,,60.4,63.0,45.8,60.9,84.1,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B1390%5D_SP_SPREE_SPOTlight.pdf
100917446,12/9/2022,PreK-12 In-School Post-Visit Lessons,Adult,PreK-12 Free,Samuel Powel School,19104,Philadelphia,5,Pennsylvania,Philadelphia City SD,Public,1390,1390,Samuel Powel School,"Kimberly Ellerbee
Sector District",District,Network 3,Network 3,District 3,K-4,Catchment,High School,312,323.0,0.6,4.5,59.9,5.1,4.2,0.0,25.6,22.8,2.2,53.9,80.5,81.8,56.0,80.5,23.0,,,,,60.4,63.0,45.8,60.9,84.1,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B1390%5D_SP_SPREE_SPOTlight.pdf
100917447,4/25/2023,PreK-12 In-School Post-Visit Lessons,Adult,PreK-12 Free,St. Joseph Pro-Cathedral School,08105-2229,Camden,2,NJ,Catholic Partnership Schools,Catholic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100917448,2/27/2023,PreK-12 In-School Pre-Visit Lessons,Adult,PreK-12 Free,First Philadelphia Preparatory Charter School,19124,Philadelphia,6,Pennsylvania,Unaffiliated,Charter,3364,3364,First Philadelphia Preparatory Charter School,Erina Pearlstein,Charter,Charters,Charters,District 7,K-12,Citywide,High School,1851,,0.2,1.2,47.3,33.8,10.9,0.1,6.5,,6.5,88.7,,,33.1,63.7,,,25.7,21.9,31.3,,,,,,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B3364%5D_SP_SPREE_SPOTlight.pdf
100917448,3/20/2023,PreK-12 In-School Post-Visit Lessons,Adult,PreK-12 Free,First Philadelphia Preparatory Charter School,19124,Philadelphia,2,Pennsylvania,Unaffiliated,Charter,3364,3364,First Philadelphia Preparatory Charter School,Erina Pearlstein,Charter,Charters,Charters,District 7,K-12,Citywide,High School,1851,,0.2,1.2,47.3,33.8,10.9,0.1,6.5,,6.5,88.7,,,33.1,63.7,,,25.7,21.9,31.3,,,,,,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B3364%5D_SP_SPREE_SPOTlight.pdf
100917448,3/22/2023,PreK-12 In-School Post-Visit Lessons,Adult,PreK-12 Free,First Philadelphia Preparatory Charter School,19124,Philadelphia,2,Pennsylvania,Unaffiliated,Charter,3364,3364,First Philadelphia Preparatory Charter School,Erina Pearlstein,Charter,Charters,Charters,District 7,K-12,Citywide,High School,1851,,0.2,1.2,47.3,33.8,10.9,0.1,6.5,,6.5,88.7,,,33.1,63.7,,,25.7,21.9,31.3,,,,,,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B3364%5D_SP_SPREE_SPOTlight.pdf
100917448,3/29/2023,PreK-12 In-School Post-Visit Lessons,Adult,PreK-12 Free,First Philadelphia Preparatory Charter School,19124,Philadelphia,2,Pennsylvania,Unaffiliated,Charter,3364,3364,First Philadelphia Preparatory Charter School,Erina Pearlstein,Charter,Charters,Charters,District 7,K-12,Citywide,High School,1851,,0.2,1.2,47.3,33.8,10.9,0.1,6.5,,6.5,88.7,,,33.1,63.7,,,25.7,21.9,31.3,,,,,,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B3364%5D_SP_SPREE_SPOTlight.pdf
100917455,10/13/2022,PreK-12 In-School Pre-Visit Lessons,Adult,PreK-12 Free,Norris Square Community Alliance,19122,Philadelphia,4,Pennsylvania,Philadelphia City SD,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100917603,10/14/2022,PreK-12 In-School Post-Visit Lessons,Adult,PreK-12 Free,Wissahickon CS - Fernhill,19144,Philadelphia,2,Pennsylvania,Unaffiliated,Charter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100917603,10/17/2022,PreK-12 In-School Post-Visit Lessons,Adult,PreK-12 Free,Wissahickon CS - Fernhill,19144,Philadelphia,2,Pennsylvania,Unaffiliated,Charter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100917612,12/19/2022,PreK-12 In-School Post-Visit Lessons,Adult,PreK-12 Free,William Rowen School,19126-1534,Philadelphia,3,PA,Philadelphia City SD,Public,7530,7530,William Rowen School,"Angela Ryans
Sector District",District,Network 6,Network 6,District 9,K-5,Catchment,High School,311,359.0,0.3,0.3,90.4,4.8,1.9,0.6,1.6,20.9,3.2,83.9,60.5,78.3,32.9,60.5,23.0,,,,,21.4,22.4,11.4,7.6,38.3,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B7530%5D_SP_SPREE_SPOTlight.pdf
100917612,12/21/2022,PreK-12 In-School Post-Visit Lessons,Adult,PreK-12 Free,William Rowen School,19126-1534,Philadelphia,3,PA,Philadelphia City SD,Public,7530,7530,William Rowen School,"Angela Ryans
Sector District",District,Network 6,Network 6,District 9,K-5,Catchment,High School,311,359.0,0.3,0.3,90.4,4.8,1.9,0.6,1.6,20.9,3.2,83.9,60.5,78.3,32.9,60.5,23.0,,,,,21.4,22.4,11.4,7.6,38.3,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B7530%5D_SP_SPREE_SPOTlight.pdf
100917717,1/11/2023,PreK-12 In-School Post-Visit Lessons,Adult,PreK-12 Free,Anne Frank School,19115-3319,Philadelphia,2,PA,Philadelphia City SD,Public,8400,8400,Anne Frank School,"Max Komins
Sector District",District,Network 10,Network 10,District 10,K-5,Catchment,High School,1482,1624.0,0.1,35.3,12.4,9.5,3.0,0.1,39.7,9.0,39.7,67.1,83.3,93.2,55.1,83.3,23.0,,,,,53.3,59.3,52.1,55.4,77.1,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B8400%5D_SP_SPREE_SPOTlight.pdf
100917717,1/18/2023,PreK-12 In-School Post-Visit Lessons,Adult,PreK-12 Free,Anne Frank School,19115-3319,Philadelphia,2,PA,Philadelphia City SD,Public,8400,8400,Anne Frank School,"Max Komins
Sector District",District,Network 10,Network 10,District 10,K-5,Catchment,High School,1482,1624.0,0.1,35.3,12.4,9.5,3.0,0.1,39.7,9.0,39.7,67.1,83.3,93.2,55.1,83.3,23.0,,,,,53.3,59.3,52.1,55.4,77.1,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B8400%5D_SP_SPREE_SPOTlight.pdf
100917717,1/25/2023,PreK-12 In-School Post-Visit Lessons,Adult,PreK-12 Free,Anne Frank School,19115-3319,Philadelphia,2,PA,Philadelphia City SD,Public,8400,8400,Anne Frank School,"Max Komins
Sector District",District,Network 10,Network 10,District 10,K-5,Catchment,High School,1482,1624.0,0.1,35.3,12.4,9.5,3.0,0.1,39.7,9.0,39.7,67.1,83.3,93.2,55.1,83.3,23.0,,,,,53.3,59.3,52.1,55.4,77.1,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B8400%5D_SP_SPREE_SPOTlight.pdf
100917717,1/9/2023,PreK-12 In-School Post-Visit Lessons,Adult,PreK-12 Free,Anne Frank School,19115-3319,Philadelphia,2,PA,Philadelphia City SD,Public,8400,8400,Anne Frank School,"Max Komins
Sector District",District,Network 10,Network 10,District 10,K-5,Catchment,High School,1482,1624.0,0.1,35.3,12.4,9.5,3.0,0.1,39.7,9.0,39.7,67.1,83.3,93.2,55.1,83.3,23.0,,,,,53.3,59.3,52.1,55.4,77.1,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B8400%5D_SP_SPREE_SPOTlight.pdf
100917717,12/14/2022,PreK-12 In-School Pre-Visit Lessons,Adult,PreK-12 Free,Anne Frank School,19115-3319,Philadelphia,3,PA,Philadelphia City SD,Public,8400,8400,Anne Frank School,"Max Komins
Sector District",District,Network 10,Network 10,District 10,K-5,Catchment,High School,1482,1624.0,0.1,35.3,12.4,9.5,3.0,0.1,39.7,9.0,39.7,67.1,83.3,93.2,55.1,83.3,23.0,,,,,53.3,59.3,52.1,55.4,77.1,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B8400%5D_SP_SPREE_SPOTlight.pdf
100917912,11/3/2022,Gallery Lessons,Adult,PreK-12 Free,Benjamin Franklin School,19120-1629,Philadelphia,7,PA,Philadelphia City SD,Public,7280,7280,Benjamin Franklin Elementary School,"Roslynn Sample Greene
Sector District",District,Network 10,Network 10,District 9,K-8,Catchment,High School,592,667.0,0.0,4.9,51.0,38.3,3.7,0.3,1.7,11.7,29.1,82.4,67.9,68.3,39.4,67.9,0.0,,,,,20.3,28.2,9.2,7.9,30.1,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B7280%5D_SP_SPREE_SPOTlight.pdf
100919586,10/7/2022,PreK-12 Online Learning,Adult,PreK-12 Free,Eleanor C. Emlen School,19119,Philadelphia,4,Pennsylvania,Philadelphia City SD,Public,6220,6220,Eleanor C. Emlen School,"Tammy Thomas
Sector District",District,Network 6,Network 6,District 8,K-5,Catchment,High School,296,325.0,2.0,0.0,85.8,5.1,5.4,0.0,1.7,34.8,1.4,80.1,69.2,85.2,37.5,69.2,23.0,,,,,47.1,33.8,20.6,15.7,37.7,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B6220%5D_SP_SPREE_SPOTlight.pdf
100919596,10/25/2022,Gallery Lessons,Adult,PreK-12 Free,Furness High School,19148-2635,Philadelphia,13,PA,Philadelphia City SD,Public,2160,2160,Horace Furness High School,"Daniel Peou
Sector District",District,Network 12,Network 12,District 1,9-12,Catchment,High School,821,945.0,0.0,31.3,17.8,40.7,3.5,0.2,6.5,14.5,53.0,64.8,53.1,85.3,33.0,53.1,58.0,81.0,18.0,20.4,34.6,,,,,,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B2160%5D_SP_SPREE_SPOTlight.pdf
100919680,10/7/2022,PreK-12 Online Learning,Adult,PreK-12 Free,Tanner G. Duckrey School,19121-2310,Philadelphia,5,PA,Philadelphia City SD,Public,4460,4460,Tanner G. Duckrey School,"David Cohen
Sector District",District,Network 8,Network 8,District 5,K-8,Catchment,High School,423,530.0,0.2,1.2,91.7,4.7,1.9,0.0,0.2,22.7,1.9,91.7,36.4,90.6,17.4,36.4,1.0,,,,,34.9,19.6,27.3,8.9,16.7,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B4460%5D_SP_SPREE_SPOTlight.pdf
100919686,11/10/2022,Gallery Lessons,Adult,PreK-12 Free,Cook-Wissahickon School,19128-3763,Philadelphia,8,PA,Philadelphia City SD,Public,6410,6410,Cook-Wissahickon School,"Michael Lowe
Sector District",District,Network 5,Network 5,District 4,K-8,Catchment,High School,396,425.0,0.3,1.0,33.8,11.1,11.9,0.3,41.7,24.2,4.3,55.6,86.1,80.7,59.3,86.1,0.0,,,,,57.8,54.1,71.1,43.0,60.6,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B6410%5D_SP_SPREE_SPOTlight.pdf
100919688,10/25/2022,Gallery Lessons,Adult,PreK-12 Free,Mastery CS - Smedley Campus,19124-1359,Philadelphia,2,PA,Unaffiliated,Charter,3409,3409,Mastery Charter School at Smedley,Joel Boyd,Charter,Charters,Charters,District 7,K-6,Catchment,High School,782,797.0,0.4,0.3,61.1,31.1,4.1,0.3,2.8,28.3,5.9,98.3,,,41.8,72.3,,,,,,,,,,,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B3409%5D_SP_SPREE_SPOTlight.pdf
100919694,11/30/2022,Gallery Lessons,Adult,PreK-12 Free,Norris Square Community Alliance,19122,Philadelphia,20,Pennsylvania,Philadelphia City SD,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100919846,10/11/2022,Gallery Lessons,Adult,PreK-12 Free,Wissahickon CS - Fernhill,19144,Philadelphia,2,Pennsylvania,Unaffiliated,Charter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100919878,11/17/2022,Gallery Lessons,Adult,PreK-12 Free,Lankenau HS,19128,Philadelphia,5,Pennsylvania,Philadelphia City SD,Public,6540,6540,Lankenau High School,"Jessica McAtamney
Sector District",District,Network 15,Network 15,District 4,9-12,Criteria,High School,261,263.0,0.8,0.0,89.7,4.6,3.1,0.0,1.9,19.2,0.8,72.0,60.5,80.0,33.1,60.5,0.0,98.9,15.1,32.7,67.3,,,,,,0.0,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B6540%5D_SP_SPREE_SPOTlight.pdf
100919907,10/7/2022,PreK-12 Online Learning,Adult,PreK-12 Free,Gilbert Spruance School,19149-2816,Philadelphia,2,PA,Philadelphia City SD,Public,8350,8350,Gilbert Spruance School,,District,Network 10,Network 10,District 7,K-8,Catchment,High School,1239,1411.0,0.6,10.7,30.4,45.6,1.5,0.2,11.0,17.0,40.1,74.7,66.5,76.5,42.5,66.5,3.0,,,,,33.9,25.7,31.1,16.7,30.1,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B8350%5D_SP_SPREE_SPOTlight.pdf
100919908,11/9/2022,Gallery Lessons,Adult,PreK-12 Free,Norris Square Community Alliance,19122,Philadelphia,20,Pennsylvania,Philadelphia City SD,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100919966,10/7/2022,PreK-12 Online Learning,Adult,PreK-12 Free,Tanner G. Duckrey School,19121-2310,Philadelphia,5,PA,Philadelphia City SD,Public,4460,4460,Tanner G. Duckrey School,"David Cohen
Sector District",District,Network 8,Network 8,District 5,K-8,Catchment,High School,423,530.0,0.2,1.2,91.7,4.7,1.9,0.0,0.2,22.7,1.9,91.7,36.4,90.6,17.4,36.4,1.0,,,,,34.9,19.6,27.3,8.9,16.7,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B4460%5D_SP_SPREE_SPOTlight.pdf
100919967,11/22/2022,Gallery Lessons,Adult,PreK-12,Politz Day School of Cherry Hill,8002,Cherry Hill,2,New Jersey,Unaffiliated,Private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100919968,11/29/2022,Gallery Lessons,Adult,PreK-12 Free,Samuel Powel School,19104,Philadelphia,5,Pennsylvania,Philadelphia City SD,Public,1390,1390,Samuel Powel School,"Kimberly Ellerbee
Sector District",District,Network 3,Network 3,District 3,K-4,Catchment,High School,312,323.0,0.6,4.5,59.9,5.1,4.2,0.0,25.6,22.8,2.2,53.9,80.5,81.8,56.0,80.5,23.0,,,,,60.4,63.0,45.8,60.9,84.1,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B1390%5D_SP_SPREE_SPOTlight.pdf
100919999,11/30/2022,PreK-12 In-School Post-Visit Lessons,Adult,PreK-12 Free,Holy Innocents School,19124,Philadelphia,3,Pennsylvania,Archdiocese of Philadelphia,Archdiocese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100920335,2/1/2023,Gallery Lessons,Adult,PreK-12 Free,Norris Square Community Alliance,19122,Philadelphia,20,Pennsylvania,Philadelphia City SD,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100920358,10/7/2022,PreK-12 Online Learning,Adult,PreK-12 Free,Rudolph Blankenburg School,19131,Philadelphia,4,Pennsylvania,Philadelphia City SD,Public,1490,1490,Rudolph Blankenburg School,"Sheena Wilson
Sector District",District,Network 3,Network 3,District 3,K-8,Catchment,High School,243,312.0,0.4,0.0,95.1,3.3,0.8,0.0,0.4,25.1,0.0,92.2,37.8,75.0,17.0,37.8,1.0,,,,,30.0,14.2,0.0,2.6,15.7,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B1490%5D_SP_SPREE_SPOTlight.pdf
100920402,2/8/2023,Gallery Lessons,Adult,PreK-12 Free,Norris Square Community Alliance,19122,Philadelphia,20,Pennsylvania,Philadelphia City SD,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100920420,10/18/2022,Gallery Lessons,Adult,PreK-12,St. Paul's School for Girls,21022,Brooklandville,2,Maryland,Unaffiliated,Private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100920436,10/25/2022,Gallery Lessons,Adult,PreK-12,Waldorf School of Philadelphia,19144,Philadelphia,3,Pennsylvania,Unaffiliated,Private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100920456,10/27/2022,Admission,Adult,PreK-12,Council Rock HS South,18966-2877,Holland,3,PA,Council Rock SD,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100920458,11/16/2022,Gallery Lessons,Adult,PreK-12 Free,Eleanor C. Emlen School,19119,Philadelphia,19,Pennsylvania,Philadelphia City SD,Public,6220,6220,Eleanor C. Emlen School,"Tammy Thomas
Sector District",District,Network 6,Network 6,District 8,K-5,Catchment,High School,296,325.0,2.0,0.0,85.8,5.1,5.4,0.0,1.7,34.8,1.4,80.1,69.2,85.2,37.5,69.2,23.0,,,,,47.1,33.8,20.6,15.7,37.7,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B6220%5D_SP_SPREE_SPOTlight.pdf
100920460,11/15/2022,Gallery Lessons,Member Adult,PreK-12,Bishop McHugh Regional Catholic School,8210,Cape May Court House,3,New Jersey,Diocese of Camden,Catholic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
